Запрос: Рестарт                                        | Паттерн: Аргументы:                      | Условие: restart
Запрос: Фильтр по полу                                 | Паттерн: Аргументы: SexArgument: 1       | Условие: include OR artist
Запрос: Фильтр по полу                                 | Паттерн: Аргументы: SexArgument: 1       | Условие: exclude OR artist
Запрос: Фильтр по возрасту в диапазоне                 | Паттерн: Аргументы: NumArgument: 2       | Условие: range OR (older AND younger)
Запрос: Фильтр по возрасту                             | Паттерн: Аргументы: NumArgument: 1       | Условие: (older OR younger)
Запрос: Фильтр по возрасту                             | Паттерн: Аргументы: NumArgument: 1       | Условие: exclude AND (older OR younger)
Запрос: Изменить количество выводимых результатов      | Паттерн: Аргументы: NumArgument: 1       | Условие: show OR (po AND (result OR artist))
Запрос: Фильтр по количеству участников коллектива     | Паттерн: Аргументы:                      | Условие: group OR solo OR duet
Запрос: Удалить все фильтры                            | Паттерн: Аргументы:                      | Условие: exclude AND all AND filter
Запрос: Удалить ограничение количества выводимых строк | Паттерн: Аргументы:                      | Условие: (exclude AND number) OR ((show OR include) AND all)
Запрос: Лайк                                           | Паттерн: Аргументы: ArtistArgument: ALL  | Условие: dislike AND exclude
Запрос: Дизлайк                                        | Паттерн: Аргументы: ArtistArgument: ALL  | Условие: like AND exclude
Запрос: Лайк                                           | Паттерн: Аргументы: ArtistArgument: ALL  | Условие: like
Запрос: Дизлайк                                        | Паттерн: Аргументы: ArtistArgument: ALL  | Условие: dislike
Запрос: Количество артистов указанного пола в базе     | Паттерн: Аргументы: SexArgument: 1       | Условие: number OR how many
Запрос: Количество артистов от X до Y лет в базе       | Паттерн: Аргументы: NumArgument: 2       | Условие: (number OR how many) AND (range OR (older AND younger))
Запрос: Количество артистов указанного возраста в базе | Паттерн: Аргументы: NumArgument: 1       | Условие: (number OR how many) AND (older OR younger)
Запрос: Количество артистов в базе                     | Паттерн: Аргументы:                      | Условие: number OR how many
Запрос: Вывести исполнителей указанного пола           | Паттерн: Аргументы: SexArgument: 1       | Условие: artist OR recommend OR show
Запрос: Вывести артистов в определённом жанре          | Паттерн: Аргументы: GenreArgument: 1     | Условие: genre OR recommend OR show
Запрос: Рекомендация по артисту                        | Паттерн: Аргументы: ArtistArgument: 1    | Условие: search OR recommend OR show
Запрос: Вывести всех артистов в базе                   | Паттерн: Аргументы:                      | Условие: all AND (include OR artist)
Запрос: Информация об артисте                          | Паттерн: Аргументы: ArtistArgument: 1    | Условие: talk about OR about OR info
